municipality,bfs_id,mean,gini,mean_quantiles
Aeugst am Albis,1,56077,0.523,47k – 478k
Affoltern am Albis,2,40365,0.434,38k – 41k
Bonstetten,3,50364,0.415,47k – 478k
Hausen am Albis,4,47717,0.47,47k – 478k
Hedingen,5,50436,0.453,47k – 478k
Kappel am Albis,6,48833,0.484,47k – 478k
Knonau,7,44191,0.444,41k – 47k
Maschwanden,8,40302,0.437,38k – 41k
Mettmenstetten,9,48817,0.456,47k – 478k
Obfelden,10,42248,0.419,41k – 47k
Ottenbach,11,46454,0.444,41k – 47k
Rifferswil,12,49413,0.45,47k – 478k
Stallikon,13,55787,0.451,47k – 478k
Wettswil am Albis,14,64840,0.493,47k – 478k
Adlikon,21,40509,0.383,38k – 41k
Benken (ZH),22,43924,0.437,41k – 47k
Berg am Irchel,23,44714,0.449,41k – 47k
Buch am Irchel,24,46269,0.412,41k – 47k
Dachsen,25,45219,0.442,41k – 47k
Dorf,26,47570,0.425,47k – 478k
Feuerthalen,27,41015,0.432,38k – 41k
Flaach,28,43000,0.404,41k – 47k
Flurlingen,29,46359,0.491,41k – 47k
Andelfingen,30,47909,0.439,47k – 478k
Henggart,31,45273,0.404,41k – 47k
Humlikon,32,44853,0.436,41k – 47k
Kleinandelfingen,33,42151,0.398,41k – 47k
Laufen-Uhwiesen,34,53046,0.494,47k – 478k
Marthalen,35,42735,0.414,41k – 47k
Oberstammheim,36,40100,0.39,38k – 41k
Ossingen,37,38415,0.429,38k – 41k
Rheinau,38,39380,0.425,38k – 41k
Thalheim an der Thur,39,42163,0.411,41k – 47k
Trüllikon,40,41750,0.435,41k – 47k
Truttikon,41,37150,0.415,35k – 38k
Unterstammheim,42,41428,0.476,41k – 47k
Volken,43,50319,0.428,47k – 478k
Waltalingen,44,40719,0.411,38k – 41k
Bachenbülach,51,45027,0.422,41k – 47k
Bassersdorf,52,46562,0.41,47k – 478k
Bülach,53,43101,0.426,41k – 47k
Dietlikon,54,47431,0.423,47k – 478k
Eglisau,55,48590,0.427,47k – 478k
Embrach,56,41109,0.415,38k – 41k
Freienstein-Teufen,57,44967,0.417,41k – 47k
Glattfelden,58,41997,0.408,41k – 47k
Hochfelden,59,45556,0.406,41k – 47k
Höri,60,38261,0.394,38k – 41k
Hüntwangen,61,48235,0.415,47k – 478k
Kloten,62,41229,0.422,41k – 47k
Lufingen,63,54965,0.42,47k – 478k
Nürensdorf,64,57967,0.481,47k – 478k
Oberembrach,65,46872,0.414,47k – 478k
Opfikon,66,40969,0.433,38k – 41k
Rafz,67,44180,0.418,41k – 47k
Rorbas,68,38716,0.398,38k – 41k
Wallisellen,69,50645,0.443,47k – 478k
Wasterkingen,70,43382,0.376,41k – 47k
Wil (ZH),71,50277,0.508,47k – 478k
Winkel,72,64120,0.492,47k – 478k
Bachs,81,42101,0.407,41k – 47k
Boppelsen,82,63068,0.479,47k – 478k
Buchs (ZH),83,44320,0.4,41k – 47k
Dällikon,84,42685,0.417,41k – 47k
Dänikon,85,47322,0.465,47k – 478k
Dielsdorf,86,44385,0.422,41k – 47k
Hüttikon,87,52056,0.421,47k – 478k
Neerach,88,65980,0.483,47k – 478k
Niederglatt,89,42023,0.394,41k – 47k
Niederhasli,90,41101,0.398,38k – 41k
Niederweningen,91,45125,0.443,41k – 47k
Oberglatt,92,36823,0.385,35k – 38k
Oberweningen,93,49001,0.442,47k – 478k
Otelfingen,94,46949,0.409,47k – 478k
Regensberg,95,54149,0.419,47k – 478k
Regensdorf,96,41554,0.415,41k – 47k
Rümlang,97,43691,0.443,41k – 47k
Schleinikon,98,41736,0.419,41k – 47k
Schöfflisdorf,99,48385,0.418,47k – 478k
Stadel,100,43069,0.404,41k – 47k
Steinmaur,101,45342,0.425,41k – 47k
Weiach,102,41720,0.406,41k – 47k
Bäretswil,111,41965,0.421,41k – 47k
Bubikon,112,45225,0.415,41k – 47k
Dürnten,113,40322,0.417,38k – 41k
Fischenthal,114,34736,0.407,32k – 35k
Gossau (ZH),115,45341,0.43,41k – 47k
Grüningen,116,46305,0.437,41k – 47k
Hinwil,117,42034,0.419,41k – 47k
Rüti (ZH),118,36713,0.42,35k – 38k
Seegräben,119,44552,0.437,41k – 47k
Wald (ZH),120,36192,0.406,35k – 38k
Wetzikon (ZH),121,39128,0.408,38k – 41k
